shopify_product_id,product_id,title,images,preview_image,category
"8,159,223,906,466","8,159,223,906,466",Square Whiff Black Hoodie,"[""https://cdn.shopify.com/s/files/1/0420/7073/7058/files/4MSWH9875-02-M29.jpg?v=1706508144"" ""https://cdn.shopify.com/s/files/1/0420/7073/7058/files/4MSWH9875-02-M1.jpg?v=1706508144"" ""https://cdn.shopify.com/s/files/1/0420/7073/7058/files/4MSWH9875-02-M34.jpg?v=1706508144"" ""https://cdn.shopify.com/s/files/1/0420/7073/7058/files/4MSWH9875-02-M20.jpg?v=1706508144"" ""https://cdn.shopify.com/s/files/1/0420/7073/7058/files/4MSWH9875-02-M43.jpg?v=1706508144"" ""https://cdn.shopify.com/s/files/1/0420/7073/7058/files/4MSWH9875-02-M6.jpg?v=1706508144"" ""https://cdn.shopify.com/s/files/1/0420/7073/7058/files/4MSWH9875-02-M15.jpg?v=1706508144"" ""https://cdn.shopify.com/s/files/1/0420/7073/7058/files/4MSWH9875-02-M5.jpg?v=1706508144"" ""https://cdn.shopify.com/s/files/1/0420/7073/7058/files/chemical-free-tag-final_c2e8ab36-c84e-424a-962f-48176b7a6ff2.jpg?v=1706508144""]",https://cdn.shopify.com/s/files/1/0420/7073/7058/files/4MSWH9875-02-M29.jpg?v=1706508144,Hoodies
"8,159,224,823,970","8,159,224,823,970",Supine Navy Hoodie,"[""https://cdn.shopify.com/s/files/1/0420/7073/7058/files/4MSWH9878-05-M34.jpg?v=1706509169"" ""https://cdn.shopify.com/s/files/1/0420/7073/7058/files/4MSWH9878-05-M1.jpg?v=1706509169"" ""https://cdn.shopify.com/s/files/1/0420/7073/7058/files/4MSWH9878-05-M24.jpg?v=1706509169"" ""https://cdn.shopify.com/s/files/1/0420/7073/7058/files/4MSWH9878-05-M29.jpg?v=1706509169"" ""https://cdn.shopify.com/s/files/1/0420/7073/7058/files/4MSWH9878-05-M42.jpg?v=1706509169"" ""https://cdn.shopify.com/s/files/1/0420/7073/7058/files/4MSWH9878-05-M4.jpg?v=1706509169"" ""https://cdn.shopify.com/s/files/1/0420/7073/7058/files/4MSWH9878-05-M8.jpg?v=1706509169"" ""https://cdn.shopify.com/s/files/1/0420/7073/7058/files/4MSWH9878-05-M2.jpg?v=1706509169"" ""https://cdn.shopify.com/s/files/1/0420/7073/7058/files/chemical-free-tag-final_c11b1588-5c35-4c92-9bca-507af4832afd.jpg?v=1706509169""]",https://cdn.shopify.com/s/files/1/0420/7073/7058/files/4MSWH9878-05-M34.jpg?v=1706509169,Hoodies
"8,513,757,708,450","8,513,757,708,450",Navy Lace-Up Textured Hoodie,"[""https://cdn.shopify.com/s/files/1/0420/7073/7058/files/d202cdc5ab1caa4b3aff251aecfa0a1b.jpg?v=1728633176"" ""https://cdn.shopify.com/s/files/1/0420/7073/7058/files/4MSWH9892-058.jpg?v=1731745309"" ""https://cdn.shopify.com/s/files/1/0420/7073/7058/files/9e6a62da579847ff8bb2f454d29c0770.jpg?v=1728633176"" ""https://cdn.shopify.com/s/files/1/0420/7073/7058/files/e0f2011845ffb2bd866514f06db2832a.jpg?v=1728633176"" ""https://cdn.shopify.com/s/files/1/0420/7073/7058/files/3b455154b9963361daaf0f92d9ce7fe6.jpg?v=1728633176"" ""https://cdn.shopify.com/s/files/1/0420/7073/7058/files/1defc7ce77b4c43336b979a59d6086d6.jpg?v=1728633176"" ""https://cdn.shopify.com/s/files/1/0420/7073/7058/files/26d82c3ab3fa3fc5d27a455a71fe3423.jpg?v=1728633176"" ""https://cdn.shopify.com/s/files/1/0420/7073/7058/files/cbe49e2adba5d67f778cc595c30c7f0e.jpg?v=1728633176"" ""https://cdn.shopify.com/s/files/1/0420/7073/7058/files/1504274a4d2f4f5dbbcafb603db38618.jpg?v=1728633176"" ""https://cdn.shopify.com/s/files/1/0420/7073/7058/files/486fe673a6e956b7e73956fa9bccbe71.jpg?v=1728633176""]",https://cdn.shopify.com/s/files/1/0420/7073/7058/files/d202cdc5ab1caa4b3aff251aecfa0a1b.jpg?v=1728633176,Hoodies
"8,316,848,275,618","8,316,848,275,618",HoodiniShirt Burgundy Hoodie,"[""https://cdn.shopify.com/s/files/1/0420/7073/7058/files/ee959dfb370c8e64ad9beba5200eb278.webp?v=1714743607"" ""https://cdn.shopify.com/s/files/1/0420/7073/7058/files/37419dfe8db38c5914ee644e5dc96ae6.webp?v=1715598986"" ""https://cdn.shopify.com/s/files/1/0420/7073/7058/files/d76a828ac7e26569b25dbb0e64c4f045.webp?v=1715598986"" ""https://cdn.shopify.com/s/files/1/0420/7073/7058/files/66b2ff457b849b9dadac3ac1d216dd12.webp?v=1715598986"" ""https://cdn.shopify.com/s/files/1/0420/7073/7058/files/22d6f9b96c8a91f3522fb27cc006a8a1.webp?v=1715598986"" ""https://cdn.shopify.com/s/files/1/0420/7073/7058/files/4a62a7837c171928f382b01e5a2068f0.webp?v=1715598986"" ""https://cdn.shopify.com/s/files/1/0420/7073/7058/files/1bf41c17346ca45bc66de7c19d21bf8f.webp?v=1714743608"" ""https://cdn.shopify.com/s/files/1/0420/7073/7058/files/chemical-free-tag-final_16c368ea-3fe2-4511-a22a-424385d7dbff.jpg?v=1715598993""]",https://cdn.shopify.com/s/files/1/0420/7073/7058/files/ee959dfb370c8e64ad9beba5200eb278.webp?v=1714743607,Hoodies
"8,316,966,699,170","8,316,966,699,170",4MSWH9888-01,"[""https://cdn.shopify.com/s/files/1/0420/7073/7058/files/4908bf38cb529d5f2645713041ec664d.jpg?v=1715598821"" ""https://cdn.shopify.com/s/files/1/0420/7073/7058/files/e7db53880f1ab143ed730db7ee5b44dd.jpg?v=1715598821"" ""https://cdn.shopify.com/s/files/1/0420/7073/7058/files/83508040a93939daac5ddb3eae63c945.jpg?v=1715598821"" ""https://cdn.shopify.com/s/files/1/0420/7073/7058/files/1c4aa3754ac15778bdb1a23f38931313.jpg?v=1715598820"" ""https://cdn.shopify.com/s/files/1/0420/7073/7058/files/023de9b611a732fa1bf69d4ef4c6706d.jpg?v=1714755126"" ""https://cdn.shopify.com/s/files/1/0420/7073/7058/files/chemical-free-tag-final_5e60a73a-862a-42ad-b5e6-e933939347a1.jpg?v=1715598822""]",https://cdn.shopify.com/s/files/1/0420/7073/7058/files/4908bf38cb529d5f2645713041ec664d.jpg?v=1715598821,Hoodies
"8,213,146,402,978","8,213,146,402,978",Vibrant Veins Grey Hoodie,"[""https://cdn.shopify.com/s/files/1/0420/7073/7058/files/4MSWH9889-02-M32.jpg?v=1710226107"" ""https://cdn.shopify.com/s/files/1/0420/7073/7058/files/4MSWH9889-02-M1.jpg?v=1710226107"" ""https://cdn.shopify.com/s/files/1/0420/7073/7058/files/4MSWH9889-02-M18.jpg?v=1710226107"" ""https://cdn.shopify.com/s/files/1/0420/7073/7058/files/4MSWH9889-02-M46.jpg?v=1710226107"" ""https://cdn.shopify.com/s/files/1/0420/7073/7058/files/4MSWH9889-02-M5.jpg?v=1710226107"" ""https://cdn.shopify.com/s/files/1/0420/7073/7058/files/4MSWH9889-02-M35.jpg?v=1710226107"" ""https://cdn.shopify.com/s/files/1/0420/7073/7058/files/4MSWH9889-02-M12.jpg?v=1710226107"" ""https://cdn.shopify.com/s/files/1/0420/7073/7058/files/4MSWH9889-02-M4.jpg?v=1710226107"" ""https://cdn.shopify.com/s/files/1/0420/7073/7058/files/chemical-free-tag-final_a14a8991-7b66-48a9-bfcf-2acb0db3a718.jpg?v=1710419740""]",https://cdn.shopify.com/s/files/1/0420/7073/7058/files/4MSWH9889-02-M32.jpg?v=1710226107,Hoodies
"8,555,949,621,410","8,555,949,621,410",Red Solid Relaxed Fit Hoodies,"[""https://cdn.shopify.com/s/files/1/0420/7073/7058/files/2e5da9c7508fab7cdf3682e6dba15b9a.jpg?v=1742033777"" ""https://cdn.shopify.com/s/files/1/0420/7073/7058/files/4MSWH9899-01-M1.jpg?v=1742033777"" ""https://cdn.shopify.com/s/files/1/0420/7073/7058/files/a3e159d47066d88776d955316081bd41.jpg?v=1742033777"" ""https://cdn.shopify.com/s/files/1/0420/7073/7058/files/150027fd5f5e270504f534d74083e336.jpg?v=1742033777"" ""https://cdn.shopify.com/s/files/1/0420/7073/7058/files/880e0aa090cf5ba14bd2092d0d51aa1a.jpg?v=1742033777"" ""https://cdn.shopify.com/s/files/1/0420/7073/7058/files/8bd842392795538663afbda77381cb06.jpg?v=1742033778"" ""https://cdn.shopify.com/s/files/1/0420/7073/7058/files/a21505f0c3633b3f4d6fd593d1e624af.jpg?v=1742033778"" ""https://cdn.shopify.com/s/files/1/0420/7073/7058/files/02d87eb0a840b150e95c2ce5e41abb89.jpg?v=1742033778"" ""https://cdn.shopify.com/s/files/1/0420/7073/7058/files/78a7d934f04325a13fc60260dfe64437.jpg?v=1742033778"" ""https://cdn.shopify.com/s/files/1/0420/7073/7058/files/ChemicalTag_dbf8ed2e-e8ed-41c3-a219-649bf0d5925e.webp?v=1742033778""]",https://cdn.shopify.com/s/files/1/0420/7073/7058/files/2e5da9c7508fab7cdf3682e6dba15b9a.jpg?v=1742033777,Hoodies
"8,518,214,123,682","8,518,214,123,682",Olive Lace-Up Textured Hoodie,"[""https://cdn.shopify.com/s/files/1/0420/7073/7058/files/415770151af0135fcb2700b7fbba2474.jpg?v=1729087350"" ""https://cdn.shopify.com/s/files/1/0420/7073/7058/files/2915d61f237cc7b8358886f8a894dd57.jpg?v=1729087350"" ""https://cdn.shopify.com/s/files/1/0420/7073/7058/files/e5cb87b22b0ff0a3b95eca56d3a88a4a.jpg?v=1729087350"" ""https://cdn.shopify.com/s/files/1/0420/7073/7058/files/1aec69750e2ddc6ca2a09e8d9eb6f8e8.jpg?v=1729087350"" ""https://cdn.shopify.com/s/files/1/0420/7073/7058/files/c5ff1be85e813b8cc7bdfb53c3531f2a.jpg?v=1729087350"" ""https://cdn.shopify.com/s/files/1/0420/7073/7058/files/dd185122618434920bc1410758c98e08.jpg?v=1729087350"" ""https://cdn.shopify.com/s/files/1/0420/7073/7058/files/ad8f8251913bfa15aeb433dab43fb459.jpg?v=1729087350"" ""https://cdn.shopify.com/s/files/1/0420/7073/7058/files/5d6c0b81e820c3cc69de1de2b5583571.jpg?v=1729087350"" ""https://cdn.shopify.com/s/files/1/0420/7073/7058/files/06ced96ec2d7e11363739f39e61de449.jpg?v=1729087350"" ""https://cdn.shopify.com/s/files/1/0420/7073/7058/files/3b2d95dadc8e8b7b7c8952ee42134b81.jpg?v=1729087350""]",https://cdn.shopify.com/s/files/1/0420/7073/7058/files/415770151af0135fcb2700b7fbba2474.jpg?v=1729087350,Hoodies
"8,122,088,784,034","8,122,088,784,034",Red Hot Black Hoodie,"[""https://cdn.shopify.com/s/files/1/0420/7073/7058/files/4MSO4534-02-3295_c662e875-2f4c-441b-8f2f-62e2458c0a2d.jpg?v=1701496178"" ""https://cdn.shopify.com/s/files/1/0420/7073/7058/files/NOTAG-HOODIES-M1161_8db3fb28-7ef3-41fa-af98-a74e81dbe10b.jpg?v=1701496178"" ""https://cdn.shopify.com/s/files/1/0420/7073/7058/files/4MSO4534-02-3274_15a71d17-eaa5-4a3f-88bf-8a1276c6fa82.jpg?v=1701496178"" ""https://cdn.shopify.com/s/files/1/0420/7073/7058/files/4MSO4534-02-3270_3813d786-f9e2-444a-958d-e67a4d57846c.jpg?v=1701496178"" ""https://cdn.shopify.com/s/files/1/0420/7073/7058/files/4MSO4534-02-3252_0da7c05c-606b-4337-8647-b1f48e7026fb.jpg?v=1701496178"" ""https://cdn.shopify.com/s/files/1/0420/7073/7058/files/4MSO4534-02-3277_32da43d1-ee34-463f-b5dd-52eb095fbbe6.jpg?v=1701496178"" ""https://cdn.shopify.com/s/files/1/0420/7073/7058/files/chemical-free-tag-final_6380d1ed-ba30-40cb-a9b4-189fcbd9c502.jpg?v=1701496178""]",https://cdn.shopify.com/s/files/1/0420/7073/7058/files/4MSO4534-02-3295_c662e875-2f4c-441b-8f2f-62e2458c0a2d.jpg?v=1701496178,Hoodies
"8,113,698,701,474","8,113,698,701,474",Teach Peace Blue Hoodie,"[""https://cdn.shopify.com/s/files/1/0420/7073/7058/files/NOTAG-HOODIES-M239.jpg?v=1700744145"" ""https://cdn.shopify.com/s/files/1/0420/7073/7058/files/NOTAG-HOODIES-M258.jpg?v=1700744145"" ""https://cdn.shopify.com/s/files/1/0420/7073/7058/files/NOTAG-HOODIES-M215_6380e542-2abe-48e0-a790-b7df78a77718.jpg?v=1700744145"" ""https://cdn.shopify.com/s/files/1/0420/7073/7058/files/NOTAG-HOODIES-M228.jpg?v=1700744145"" ""https://cdn.shopify.com/s/files/1/0420/7073/7058/files/chemical-free-tag-final_2fdbb89a-a988-43b2-b665-8b5f407d4b88.webp?v=1700744145""]",https://cdn.shopify.com/s/files/1/0420/7073/7058/files/NOTAG-HOODIES-M239.jpg?v=1700744145,Hoodies
